timestamp,latitude,longitude
1586768439,-49.3229,-95.1225
1586768499,-48.0098,-89.8559
1586768559,-46.4601,-84.9289
1586768619,-44.6740,-80.2695
1586768680,-42.6555,-75.8493
1586768739,-40.5520,-71.8984
1586768799,-38.2465,-68.1201
1586768859,-35.8112,-64.5958
1586768919,-33.2645,-61.3011
1586768979,-30.6448,-58.2357
